Field_Name,Time_Stamp,CO2_ppm,Nitrate_ppm,pH,Temp_C,Moisture_pct,Microbial_Health_Score
Field-E,2025-12-16 00:30,927,21.4,6.8,23.7,38.5,9.3 (Excellent)
Field-J,2025-12-03 08:44,989,11.5,5.4,24.6,27.9,6.4 (Fair)
Field-F,2025-12-12 20:13,974,25.0,6.3,26.6,46.2,9.7 (Excellent)
Field-C,2025-12-14 02:20,428,13.3,7.3,23.1,46.9,3.7 (Poor)
Field-I,2025-11-28 04:13,1049,10.9,7.2,18.2,31.6,8.0 (Good)
Field-B,2025-12-17 22:44,701,3.3,5.4,26.7,30.1,3.6 (Poor)
Field-D,2025-11-27 04:01,381,11.6,6.3,19.4,44.9,4.2 (Poor)
Field-H,2025-12-11 13:50,452,15.5,7.1,23.3,26.8,5.3 (Fair)
Field-B,2025-12-01 11:34,635,12.3,4.8,25.0,33.4,4.2 (Poor)
Field-E,2025-12-12 14:06,1142,27.2,5.2,25.0,41.9,9.8 (Excellent)
Field-F,2025-12-05 02:10,441,15.6,5.4,18.1,33.3,4.3 (Poor)
Field-I,2025-11-30 18:05,989,8.8,5.4,26.3,42.4,5.4 (Fair)
Field-E,2025-12-07 12:36,630,19.3,5.6,19.0,28.8,6.5 (Fair)
Field-F,2025-12-19 14:52,707,21.9,5.5,27.1,25.8,6.9 (Good)
Field-E,2025-12-15 21:19,854,18.1,5.0,24.6,33.6,7.2 (Good)
Field-B,2025-11-23 04:46,959,8.3,6.4,23.3,39.8,6.7 (Good)
Field-E,2025-12-11 07:17,490,25.2,7.0,23.9,25.9,7.9 (Good)
Field-I,2025-12-16 10:31,774,26.2,5.0,19.7,33.4,7.7 (Good)
Field-H,2025-12-08 19:17,707,19.1,5.0,25.8,28.3,6.1 (Fair)
Field-F,2025-12-13 11:12,902,18.5,5.7,21.7,33.2,7.2 (Good)
Field-C,2025-12-14 14:56,460,22.1,5.1,24.2,25.3,5.6 (Fair)
Field-C,2025-12-05 13:37,975,11.5,6.9,21.3,43.6,7.9 (Good)
Field-E,2025-11-23 23:18,830,19.2,6.3,21.4,46.5,7.8 (Good)
Field-D,2025-11-20 20:50,1026,20.3,5.6,19.5,41.9,8.5 (Good)
Field-H,2025-12-10 15:14,988,15.3,7.2,25.9,35.7,8.6 (Excellent)
Field-I,2025-11-25 23:00,692,16.5,7.0,26.3,35.4,6.5 (Fair)
Field-J,2025-12-08 09:21,621,9.8,7.3,26.9,39.8,4.2 (Poor)
Field-C,2025-12-13 00:41,620,11.8,6.0,27.8,39.7,6.0 (Fair)
Field-F,2025-12-12 19:34,399,16.3,6.6,19.4,40.7,5.4 (Fair)
Field-I,2025-11-29 23:51,871,23.4,7.3,22.7,46.9,7.7 (Good)
Field-F,2025-11-22 05:15,406,6.7,5.9,22.2,51.5,2.1 (Very Poor)
Field-C,2025-12-08 13:59,1078,13.7,5.4,27.4,35.1,7.1 (Good)
Field-A,2025-12-19 15:07,517,26.1,5.3,22.5,40.0,7.0 (Good)
Field-B,2025-12-10 09:55,894,6.1,5.1,24.4,46.8,4.4 (Poor)
Field-B,2025-12-03 08:02,380,17.4,7.1,27.8,38.5,6.0 (Fair)
Field-E,2025-11-20 21:38,761,15.4,7.7,18.3,36.3,6.2 (Fair)
Field-D,2025-12-13 00:13,903,7.0,6.7,22.1,35.6,6.5 (Fair)
Field-H,2025-11-25 06:07,1060,20.7,6.2,27.7,45.1,9.5 (Excellent)
Field-E,2025-12-10 06:10,421,11.9,6.3,26.3,26.8,4.3 (Poor)
Field-A,2025-12-06 21:36,1060,16.7,5.1,22.3,51.9,8.3 (Good)
Field-E,2025-12-14 13:58,730,12.4,5.0,26.9,34.0,4.9 (Fair)
Field-D,2025-12-14 06:36,618,23.3,5.9,27.8,32.9,6.5 (Fair)
Field-C,2025-12-14 20:32,952,25.7,7.3,22.4,42.0,8.8 (Excellent)
Field-J,2025-12-04 20:07,979,16.9,7.7,20.9,50.4,7.8 (Good)
Field-D,2025-12-19 19:48,865,21.6,6.5,18.4,27.3,9.1 (Excellent)
Field-C,2025-12-19 13:56,849,19.6,5.2,25.8,42.2,7.5 (Good)
Field-B,2025-12-07 23:13,574,7.1,6.2,20.2,36.6,4.8 (Fair)
Field-D,2025-12-12 23:52,728,20.3,5.0,24.9,39.8,6.8 (Good)
Field-D,2025-12-11 10:32,571,10.4,6.3,21.1,32.1,4.7 (Fair)
Field-B,2025-11-25 17:09,611,4.3,7.2,21.2,27.8,3.6 (Poor)
Field-E,2025-12-15 16:02,913,10.2,5.0,26.7,45.8,5.9 (Fair)
Field-G,2025-12-09 02:10,687,26.7,7.5,18.3,51.1,7.9 (Good)
Field-A,2025-11-29 16:21,351,17.0,7.6,21.0,35.8,3.9 (Poor)
Field-C,2025-11-27 08:08,1089,26.0,7.8,25.6,47.9,9.9 (Excellent)
Field-A,2025-12-18 10:12,958,12.6,6.1,26.9,51.1,7.5 (Good)
Field-H,2025-11-28 01:06,1062,25.6,6.0,21.7,47.5,9.9 (Excellent)
Field-D,2025-11-22 03:06,1096,4.9,6.6,19.6,36.7,6.9 (Good)
Field-G,2025-11-29 14:44,797,19.5,5.1,23.0,41.3,7.2 (Good)
Field-D,2025-12-07 00:01,578,16.5,6.2,23.5,44.2,6.4 (Fair)
Field-B,2025-12-18 05:41,741,15.2,7.2,23.3,46.1,6.8 (Good)
Field-D,2025-12-18 16:49,660,2.6,5.8,27.5,43.1,2.5 (Very Poor)
Field-D,2025-11-25 02:46,927,18.5,7.0,24.8,46.7,9.0 (Excellent)
Field-F,2025-11-26 22:54,494,25.0,6.0,26.4,51.2,7.7 (Good)
Field-C,2025-11-24 12:07,625,20.3,6.2,27.7,32.7,7.3 (Good)
Field-G,2025-11-21 05:54,361,3.2,4.8,22.1,45.0,1.2 (Very Poor)
Field-I,2025-12-08 19:01,648,22.8,5.5,22.1,32.6,6.8 (Good)
Field-A,2025-12-18 01:57,950,18.9,6.1,26.1,46.7,9.1 (Excellent)
Field-C,2025-12-13 19:10,715,24.5,6.2,25.5,50.5,8.9 (Excellent)
Field-D,2025-12-02 02:16,614,24.0,6.9,18.9,30.1,7.9 (Good)
Field-D,2025-11-22 09:18,468,17.0,5.6,21.0,29.9,4.6 (Fair)
Field-I,2025-12-01 02:42,405,27.4,7.6,18.6,50.3,6.2 (Fair)
Field-B,2025-11-27 19:47,380,4.2,6.9,20.3,51.7,2.6 (Very Poor)
Field-J,2025-12-15 06:36,1103,10.0,6.8,20.5,36.0,7.8 (Good)
Field-C,2025-12-12 16:57,711,15.7,5.2,24.1,44.4,5.6 (Fair)
Field-F,2025-11-24 07:12,629,5.5,6.8,26.6,38.9,4.1 (Poor)
Field-C,2025-12-18 17:00,1053,23.9,7.3,18.3,40.1,9.6 (Excellent)
Field-A,2025-11-24 18:35,755,16.0,7.4,22.3,32.7,6.2 (Fair)
Field-C,2025-11-21 13:41,404,8.5,5.9,23.4,26.3,3.0 (Very Poor)
Field-A,2025-12-19 23:38,704,13.8,6.1,24.2,38.4,6.7 (Good)
Field-D,2025-12-17 04:06,439,11.4,5.2,23.5,45.2,3.0 (Very Poor)
Field-H,2025-12-04 06:09,866,18.5,7.7,27.3,26.8,7.4 (Good)
Field-E,2025-11-20 21:31,1011,21.7,5.0,18.7,51.8,8.5 (Good)
Field-A,2025-11-26 01:56,699,2.4,6.9,27.4,49.8,4.2 (Poor)
Field-A,2025-12-10 10:11,916,26.5,7.5,24.0,45.4,9.4 (Excellent)
Field-E,2025-12-04 13:46,651,7.4,5.1,20.2,42.6,4.2 (Poor)
Field-C,2025-12-10 08:51,800,7.4,6.5,19.1,27.1,5.8 (Fair)
Field-C,2025-11-23 13:57,471,13.7,5.5,24.5,51.0,4.2 (Poor)
Field-D,2025-12-12 04:25,360,11.9,7.2,27.0,44.2,4.6 (Fair)
Field-E,2025-12-02 12:22,420,24.6,6.6,20.4,48.4,7.6 (Good)
Field-B,2025-12-03 00:36,969,17.7,5.6,25.8,40.5,8.0 (Good)
Field-A,2025-12-05 23:32,735,26.9,5.9,21.8,29.0,7.7 (Good)
Field-C,2025-12-02 08:17,473,20.7,7.7,22.0,44.0,5.6 (Fair)
Field-C,2025-12-09 14:32,556,19.6,5.9,19.9,29.6,5.6 (Fair)
Field-I,2025-11-26 15:22,405,17.4,5.1,22.2,45.2,4.4 (Poor)
Field-F,2025-12-02 21:28,660,13.8,6.7,26.3,38.8,6.5 (Fair)
Field-H,2025-12-02 14:38,539,27.9,7.7,23.9,48.3,7.5 (Good)
Field-J,2025-11-30 09:33,524,26.8,5.3,20.4,27.9,7.2 (Good)
Field-H,2025-11-27 23:31,959,9.6,7.3,25.7,29.9,5.9 (Fair)
Field-J,2025-12-05 17:10,403,9.9,7.6,19.3,25.7,2.6 (Very Poor)
Field-C,2025-12-03 01:49,515,13.6,6.4,27.8,41.3,5.8 (Fair)
Field-B,2025-12-19 18:39,372,26.0,5.1,18.4,26.7,5.7 (Fair)
Field-G,2025-11-30 01:44,1126,12.9,5.9,19.8,51.9,7.1 (Good)
Field-F,2025-12-13 19:16,1079,25.9,4.9,25.1,31.2,9.8 (Excellent)
Field-F,2025-11-22 00:57,834,5.1,6.5,24.2,43.2,5.2 (Fair)
Field-B,2025-11-24 18:15,1147,9.8,7.2,22.9,45.1,8.2 (Good)
Field-A,2025-11-28 18:36,646,7.0,7.3,24.1,26.2,3.6 (Poor)
Field-J,2025-11-26 07:18,1005,26.1,7.6,19.3,34.7,9.6 (Excellent)
Field-G,2025-12-10 05:34,493,4.2,5.4,26.7,46.5,2.6 (Very Poor)
Field-F,2025-11-30 10:25,358,20.0,7.1,24.2,44.6,5.4 (Fair)
Field-I,2025-12-03 11:05,1058,22.4,5.5,23.1,26.8,8.7 (Excellent)
Field-I,2025-11-28 22:05,563,27.6,7.4,21.7,33.4,7.6 (Good)
Field-J,2025-11-27 10:29,498,24.1,6.6,21.6,30.9,7.9 (Good)
Field-J,2025-12-17 10:17,437,17.6,6.6,23.0,28.3,6.0 (Fair)
Field-D,2025-12-08 06:44,475,22.7,5.8,19.3,51.9,5.6 (Fair)
Field-B,2025-11-25 23:07,796,23.2,7.5,21.4,39.5,7.6 (Good)
Field-E,2025-12-19 16:22,673,6.0,5.4,25.1,45.9,3.6 (Poor)
Field-A,2025-12-01 03:15,748,12.3,5.7,19.4,25.7,5.0 (Fair)
Field-D,2025-11-25 21:58,620,7.4,5.4,20.4,41.1,3.4 (Poor)
Field-F,2025-12-16 09:16,492,9.0,6.7,21.3,46.4,4.7 (Fair)
Field-E,2025-12-14 20:19,1127,9.7,7.1,27.2,30.3,8.3 (Good)
Field-I,2025-12-02 20:11,785,14.1,5.9,21.5,46.4,5.8 (Fair)
Field-G,2025-12-16 15:02,661,3.1,5.4,26.9,26.3,3.3 (Poor)
Field-F,2025-11-28 10:21,1026,24.4,7.0,22.6,30.2,9.9 (Excellent)
Field-C,2025-12-02 16:33,564,22.6,5.9,25.3,49.2,6.8 (Good)
Field-F,2025-12-09 12:35,1032,7.1,7.7,26.9,34.9,5.9 (Fair)
Field-J,2025-11-26 04:11,409,6.4,6.7,21.1,47.0,3.5 (Poor)
Field-J,2025-12-11 15:57,870,22.4,6.2,24.9,48.0,8.9 (Excellent)
Field-I,2025-12-07 22:06,1044,20.7,7.1,19.0,48.0,9.9 (Excellent)
Field-C,2025-12-11 06:27,825,12.8,6.4,19.0,47.0,6.5 (Fair)
Field-C,2025-11-22 21:14,537,4.4,7.4,18.3,47.2,3.0 (Very Poor)
Field-H,2025-12-05 02:08,612,14.6,6.2,24.1,32.2,6.2 (Fair)
Field-E,2025-12-12 14:29,410,14.6,5.7,21.7,50.0,4.2 (Poor)
Field-C,2025-11-21 14:14,942,16.7,5.6,21.1,33.1,7.2 (Good)
Field-C,2025-11-24 18:24,898,20.6,5.8,20.5,27.5,7.4 (Good)
Field-G,2025-11-20 18:59,615,23.3,7.3,19.2,38.6,6.7 (Good)
Field-F,2025-12-07 12:48,661,15.9,7.2,24.7,34.0,6.8 (Good)
Field-B,2025-12-19 08:06,526,23.9,6.6,20.3,37.6,7.6 (Good)
Field-F,2025-12-18 00:31,969,19.0,7.0,24.9,52.0,8.9 (Excellent)
Field-G,2025-11-29 12:50,389,15.3,6.8,23.3,30.5,5.5 (Fair)
Field-J,2025-12-12 06:26,518,27.4,7.6,25.4,27.2,6.9 (Good)
Field-J,2025-11-22 17:15,799,16.3,5.1,22.0,48.1,6.3 (Fair)
Field-C,2025-11-27 20:21,1033,21.9,7.0,21.4,46.4,9.9 (Excellent)
Field-I,2025-12-08 15:58,909,5.4,7.5,23.8,42.3,5.0 (Fair)
Field-I,2025-11-30 17:58,966,11.4,6.4,18.8,29.6,7.8 (Good)
Field-D,2025-11-21 20:29,1084,14.9,5.1,21.8,40.6,7.8 (Good)
Field-B,2025-12-02 04:49,934,13.1,6.4,27.3,44.4,7.3 (Good)
Field-B,2025-12-18 20:21,536,6.1,6.2,18.3,32.4,4.4 (Poor)
Field-J,2025-12-01 12:18,909,21.1,7.5,21.4,36.9,7.4 (Good)
Field-H,2025-12-16 20:35,1100,21.8,6.0,25.7,39.0,9.9 (Excellent)
Field-E,2025-12-19 15:24,903,12.7,6.0,23.6,27.1,7.6 (Good)
Field-C,2025-12-13 20:03,376,18.3,7.6,24.6,45.0,4.0 (Poor)
Field-H,2025-12-02 11:19,615,13.9,7.7,18.2,35.4,4.6 (Fair)
Field-F,2025-12-02 20:08,380,19.5,4.9,27.3,29.8,5.0 (Fair)
Field-E,2025-12-06 22:45,646,18.6,7.0,24.4,40.7,7.0 (Good)
Field-A,2025-11-29 20:57,804,21.2,7.0,19.1,47.3,8.3 (Good)
Field-G,2025-11-29 20:14,621,23.8,6.5,24.7,51.6,7.7 (Good)
Field-F,2025-11-26 02:53,874,9.6,7.3,27.7,34.5,5.7 (Fair)
Field-E,2025-12-08 18:44,469,16.1,7.1,27.6,50.6,6.0 (Fair)
Field-F,2025-11-27 21:59,492,5.1,5.3,18.2,43.7,2.7 (Very Poor)
Field-F,2025-11-30 02:10,994,25.0,6.5,25.6,38.5,9.9 (Excellent)
Field-D,2025-12-02 04:09,457,18.8,4.9,22.5,35.9,5.4 (Fair)
Field-G,2025-12-16 02:13,569,12.6,7.7,28.0,36.4,3.9 (Poor)
Field-J,2025-12-02 19:00,501,9.9,6.8,27.7,36.7,4.2 (Poor)
Field-H,2025-11-25 16:41,1012,19.7,5.9,18.9,42.0,7.7 (Good)
Field-A,2025-11-22 08:40,722,6.7,5.5,22.6,35.3,3.8 (Poor)
Field-G,2025-12-12 21:03,565,10.3,6.4,22.5,37.0,5.3 (Fair)
Field-G,2025-12-13 19:00,816,11.8,7.1,27.5,34.1,6.6 (Good)
Field-H,2025-12-09 20:02,866,13.9,6.1,27.0,29.6,7.8 (Good)
Field-B,2025-12-03 14:57,393,16.5,6.8,18.6,50.3,5.8 (Fair)
Field-G,2025-11-25 10:49,413,6.2,7.1,21.3,37.9,3.6 (Poor)
Field-I,2025-12-08 15:01,810,21.5,4.9,22.8,38.2,7.1 (Good)
Field-F,2025-12-04 09:17,449,21.0,7.7,24.2,31.9,5.1 (Fair)
Field-I,2025-12-03 01:10,762,13.1,6.9,25.5,36.0,6.8 (Good)
Field-D,2025-11-25 07:43,1045,9.8,6.4,23.2,35.5,7.4 (Good)
Field-F,2025-12-07 10:23,901,7.3,5.1,25.8,49.1,5.0 (Fair)
Field-C,2025-12-09 10:32,758,15.5,7.4,21.3,33.6,6.3 (Fair)
Field-G,2025-11-23 00:04,651,8.2,5.3,25.3,43.5,4.1 (Poor)
Field-A,2025-11-24 22:43,717,6.7,5.7,26.8,32.4,4.3 (Poor)
Field-J,2025-11-24 18:48,702,3.2,5.2,24.2,27.8,3.0 (Very Poor)
Field-I,2025-12-07 17:56,1089,6.8,6.4,21.2,45.8,7.5 (Good)
Field-H,2025-12-01 02:16,808,2.8,5.8,27.9,30.8,3.8 (Poor)
Field-E,2025-11-25 14:57,437,14.9,6.4,26.0,43.9,5.3 (Fair)
Field-I,2025-12-17 12:23,613,5.0,5.1,23.6,28.4,3.6 (Poor)
Field-G,2025-12-03 11:42,1150,10.4,6.3,23.7,31.6,8.6 (Excellent)
Field-H,2025-11-21 04:46,787,20.0,7.1,20.5,32.6,8.5 (Good)
Field-I,2025-12-07 19:39,940,5.3,5.1,24.4,29.9,4.9 (Fair)
Field-I,2025-12-09 06:35,422,20.5,6.0,27.1,29.1,6.0 (Fair)
Field-D,2025-12-07 10:53,589,26.6,5.4,18.1,44.7,7.5 (Good)
Field-F,2025-12-04 06:54,804,7.9,5.8,27.3,27.6,4.4 (Poor)
Field-A,2025-12-14 14:05,520,17.3,4.8,26.0,35.0,5.5 (Fair)
Field-F,2025-12-07 16:41,576,9.8,4.8,27.6,47.9,4.2 (Poor)
Field-B,2025-12-09 09:33,992,8.2,7.2,27.7,26.8,7.3 (Good)
Field-D,2025-12-16 12:06,965,22.1,7.7,24.3,34.6,7.9 (Good)
Field-I,2025-11-27 12:44,497,24.4,5.9,20.3,46.5,6.0 (Fair)
Field-D,2025-12-19 16:07,424,6.1,7.8,27.3,39.0,2.7 (Very Poor)
Field-B,2025-11-24 08:36,497,6.6,7.1,18.1,43.6,4.0 (Poor)
Field-C,2025-12-13 05:56,729,11.5,6.4,27.1,38.4,5.8 (Fair)
Field-A,2025-12-18 05:45,484,2.6,5.8,26.3,32.5,1.7 (Very Poor)
Field-C,2025-11-23 01:52,1054,3.3,7.4,18.7,35.7,4.6 (Fair)
Field-F,2025-12-12 00:05,955,9.2,4.9,27.8,28.9,5.2 (Fair)
Field-A,2025-11-21 13:21,761,6.6,7.5,25.9,32.9,4.4 (Poor)
Field-I,2025-11-21 02:46,757,24.8,6.1,27.5,48.1,8.7 (Excellent)
Field-A,2025-11-30 17:31,1142,8.9,5.5,19.0,29.7,7.1 (Good)
Field-H,2025-12-15 15:11,810,3.1,5.4,22.0,35.1,3.6 (Poor)
Field-E,2025-12-14 16:01,508,19.2,6.5,26.4,39.0,6.2 (Fair)
Field-J,2025-11-20 10:48,1087,6.6,6.9,26.0,36.5,7.6 (Good)
Field-J,2025-12-13 18:52,372,16.2,6.3,23.2,26.7,5.1 (Fair)
Field-I,2025-11-26 05:53,730,17.3,7.0,23.3,38.6,6.9 (Good)
Field-E,2025-11-26 05:04,650,7.5,6.0,18.2,48.5,4.9 (Fair)
Field-D,2025-12-14 15:23,865,22.1,6.3,24.0,44.9,9.0 (Excellent)
Field-G,2025-12-07 10:07,395,22.7,6.7,19.1,34.3,6.5 (Fair)
Field-G,2025-12-12 20:48,1078,26.6,6.6,19.6,49.4,9.9 (Excellent)
Field-H,2025-11-25 01:16,890,17.0,6.5,18.4,25.5,8.0 (Good)
Field-A,2025-12-03 04:53,1039,24.2,7.2,21.0,34.4,9.9 (Excellent)
Field-G,2025-11-21 21:40,1103,10.1,6.8,20.2,49.3,7.7 (Good)
Field-C,2025-11-30 10:14,648,19.0,7.0,18.9,32.9,7.3 (Good)
Field-D,2025-12-17 02:29,428,24.5,5.7,24.3,47.8,5.7 (Fair)
Field-B,2025-12-19 06:08,464,9.5,5.4,27.5,27.3,3.1 (Poor)
Field-H,2025-12-17 12:13,704,20.1,6.6,26.3,26.0,8.1 (Good)
Field-A,2025-11-25 22:31,510,7.6,5.1,18.3,43.3,3.3 (Poor)
Field-D,2025-11-29 07:32,723,12.4,6.7,19.2,33.4,6.0 (Fair)
Field-G,2025-12-15 18:45,367,25.4,5.4,22.0,44.0,6.3 (Fair)
Field-G,2025-12-03 19:26,681,7.7,6.3,19.5,28.0,5.6 (Fair)
Field-G,2025-12-07 19:45,382,18.6,7.7,27.5,40.7,4.9 (Fair)
Field-D,2025-11-22 23:48,441,17.9,5.2,25.4,45.8,4.6 (Fair)
Field-D,2025-11-20 16:38,515,26.6,7.4,27.5,50.4,7.2 (Good)
Field-I,2025-11-22 15:31,783,11.3,7.4,27.9,38.1,5.2 (Fair)
Field-F,2025-12-12 22:35,994,6.9,6.7,19.5,39.7,7.0 (Good)
Field-J,2025-12-03 19:37,654,3.8,5.4,27.1,28.5,3.0 (Very Poor)
Field-B,2025-12-14 20:35,869,3.3,6.0,23.5,32.1,5.0 (Fair)
Field-E,2025-12-08 11:29,402,24.6,6.3,26.4,44.5,7.6 (Good)
Field-I,2025-12-03 09:54,459,15.9,6.8,24.2,51.3,5.9 (Fair)
Field-E,2025-12-15 18:31,429,27.6,7.8,24.2,25.3,7.1 (Good)
Field-E,2025-11-30 00:22,947,4.0,7.6,26.7,41.2,4.3 (Poor)
Field-H,2025-11-27 13:36,829,23.0,6.2,22.1,27.0,8.6 (Excellent)
Field-F,2025-12-08 00:04,595,3.2,7.0,21.3,48.1,3.6 (Poor)
Field-H,2025-12-18 03:17,582,7.6,7.4,18.7,47.4,3.3 (Poor)
Field-H,2025-11-22 15:52,775,19.1,4.9,21.5,48.8,7.0 (Good)
Field-D,2025-12-18 08:51,620,3.0,6.5,25.6,26.9,4.2 (Poor)
Field-E,2025-12-14 16:27,603,11.5,5.6,18.9,36.3,4.2 (Poor)
Field-J,2025-11-29 14:50,922,9.7,5.7,22.4,30.0,5.3 (Fair)
Field-D,2025-12-19 08:57,378,12.9,5.3,24.8,45.6,2.9 (Very Poor)
Field-B,2025-12-09 19:45,975,15.5,5.5,26.8,39.0,6.8 (Good)
Field-A,2025-12-03 08:36,899,4.5,7.4,24.4,50.1,5.0 (Fair)
Field-J,2025-11-20 15:11,543,26.1,7.1,27.2,27.1,7.8 (Good)
Field-B,2025-11-28 11:51,911,25.4,7.6,27.6,37.8,8.3 (Good)
Field-F,2025-11-25 23:29,877,21.7,5.1,18.6,37.7,7.7 (Good)
Field-D,2025-12-18 20:04,414,14.3,7.0,27.1,42.7,5.4 (Fair)
Field-E,2025-11-29 09:36,857,11.9,6.3,25.8,31.1,7.2 (Good)
Field-B,2025-11-28 07:21,647,11.5,6.0,20.0,38.2,5.3 (Fair)
Field-F,2025-12-19 10:39,508,9.3,6.9,25.4,40.0,4.6 (Fair)
Field-A,2025-12-11 20:15,557,23.6,6.0,26.3,34.4,7.9 (Good)
Field-F,2025-12-06 16:07,921,24.8,4.8,27.2,49.7,8.5 (Good)
Field-E,2025-12-04 13:28,496,25.4,5.9,27.2,39.8,6.2 (Fair)
Field-E,2025-12-17 23:53,799,19.0,5.5,26.5,27.4,7.2 (Good)
Field-B,2025-11-23 11:09,481,16.9,6.7,27.5,29.6,5.5 (Fair)
Field-H,2025-12-13 07:33,789,3.1,7.6,27.9,32.2,3.2 (Poor)
Field-G,2025-11-21 03:36,834,17.2,7.4,18.6,25.1,6.3 (Fair)
Field-C,2025-12-18 07:54,1045,14.3,6.5,25.6,39.9,8.5 (Good)
Field-F,2025-12-19 09:11,1100,17.2,7.2,19.0,27.5,9.4 (Excellent)
Field-A,2025-11-27 00:19,751,26.9,5.9,19.9,44.4,8.1 (Good)
Field-C,2025-12-19 22:38,1078,2.2,6.5,20.9,28.6,6.0 (Fair)
Field-J,2025-12-03 20:26,695,27.7,5.7,27.1,31.2,7.7 (Good)
Field-J,2025-12-14 13:10,1049,8.0,5.3,22.4,43.6,6.0 (Fair)
Field-A,2025-12-01 19:42,834,13.3,7.6,19.6,33.7,5.8 (Fair)
Field-C,2025-11-25 03:29,1062,6.2,6.9,25.7,51.1,6.6 (Good)
Field-I,2025-11-30 11:43,562,26.4,6.4,24.0,45.8,8.3 (Good)
Field-D,2025-11-24 07:29,1126,18.9,5.6,24.5,29.9,8.6 (Excellent)
Field-G,2025-11-23 00:00,1107,19.9,5.1,19.5,36.3,8.3 (Good)
Field-J,2025-11-25 01:18,902,7.8,7.4,26.3,33.9,5.1 (Fair)
Field-E,2025-11-28 03:30,514,3.3,6.5,23.9,49.9,3.7 (Poor)
Field-D,2025-12-10 19:58,611,16.6,5.6,24.9,43.2,5.1 (Fair)
Field-J,2025-12-18 05:25,803,9.9,6.6,18.8,42.2,6.8 (Good)
Field-H,2025-12-07 21:53,1085,24.6,5.4,25.3,30.4,9.2 (Excellent)
Field-I,2025-11-24 06:21,970,15.2,7.4,23.2,44.9,7.4 (Good)
Field-A,2025-12-17 18:42,886,21.1,5.5,23.3,27.7,7.9 (Good)
Field-E,2025-12-09 01:09,428,14.2,7.1,25.0,46.8,5.5 (Fair)
Field-B,2025-11-25 17:15,695,2.0,6.9,20.5,45.0,4.3 (Poor)
Field-H,2025-12-20 04:42,381,2.0,6.5,18.6,39.8,2.1 (Very Poor)
Field-A,2025-11-24 07:23,1027,12.3,7.3,22.8,37.6,6.3 (Fair)
Field-J,2025-12-04 20:33,828,19.4,7.2,19.9,25.5,7.9 (Good)
Field-D,2025-12-01 19:45,1013,20.6,7.1,22.2,25.4,9.3 (Excellent)
Field-E,2025-12-09 15:49,790,20.0,6.1,19.2,39.4,8.2 (Good)
Field-C,2025-12-13 05:59,1082,26.6,7.8,27.3,28.0,9.8 (Excellent)
Field-A,2025-12-07 04:41,502,22.4,6.7,23.0,42.0,7.1 (Good)
Field-A,2025-12-14 16:52,939,4.7,6.8,18.1,48.7,6.0 (Fair)
Field-D,2025-12-01 08:25,1024,7.8,6.9,26.6,25.8,6.6 (Good)
Field-E,2025-12-12 20:35,681,23.2,5.5,20.1,33.4,7.1 (Good)
Field-E,2025-12-07 14:30,427,24.0,5.0,21.6,29.5,6.2 (Fair)
Field-F,2025-12-09 09:24,352,5.9,6.2,23.6,29.3,2.7 (Very Poor)
Field-G,2025-12-03 20:04,1058,19.4,5.4,20.0,37.8,8.8 (Excellent)
Field-A,2025-12-16 01:51,473,6.2,6.1,26.6,34.1,3.3 (Poor)
Field-J,2025-11-25 21:50,833,21.8,5.8,23.1,36.7,8.1 (Good)
Field-A,2025-12-15 00:45,425,7.7,7.5,27.5,34.4,2.9 (Very Poor)
Field-G,2025-12-14 03:26,649,22.3,6.2,22.6,36.0,7.8 (Good)
Field-B,2025-11-25 23:42,732,16.2,7.0,21.3,28.1,7.4 (Good)
Field-B,2025-12-15 21:51,417,4.8,7.8,19.6,31.3,2.2 (Very Poor)
Field-C,2025-12-14 02:54,386,27.4,6.8,23.3,26.2,7.9 (Good)
Field-E,2025-11-22 11:08,567,2.9,5.7,26.4,27.6,2.6 (Very Poor)
Field-F,2025-11-25 12:31,1066,19.7,5.3,19.3,44.1,8.2 (Good)
Field-G,2025-12-12 13:12,479,17.1,6.0,27.3,29.3,6.2 (Fair)
Field-G,2025-12-15 20:48,910,21.5,7.3,24.2,34.4,7.8 (Good)
Field-F,2025-12-02 02:43,852,4.5,6.3,25.4,41.1,5.8 (Fair)
Field-B,2025-12-16 02:33,472,16.2,6.5,18.3,47.4,6.0 (Fair)
Field-D,2025-11-24 14:33,968,13.6,5.4,18.4,29.8,6.5 (Fair)
Field-G,2025-11-24 16:09,720,8.6,5.4,25.4,31.1,4.4 (Poor)
Field-I,2025-11-29 06:06,1079,25.8,7.8,24.7,32.0,9.3 (Excellent)
Field-H,2025-12-08 02:21,801,26.4,5.5,19.4,32.6,8.4 (Good)
Field-A,2025-12-06 05:36,502,23.9,7.4,23.0,40.0,6.4 (Fair)
Field-C,2025-12-20 00:06,524,2.9,6.8,26.6,41.9,3.8 (Poor)
Field-J,2025-11-30 12:10,1063,23.2,6.8,20.1,50.8,9.9 (Excellent)
Field-B,2025-12-10 00:47,862,13.1,7.3,23.3,42.1,6.4 (Fair)
Field-J,2025-11-23 16:19,401,14.8,6.3,22.9,35.3,5.0 (Fair)
Field-B,2025-11-27 19:59,841,28.0,6.3,27.5,27.9,9.9 (Excellent)
Field-G,2025-12-04 18:38,1112,3.5,7.6,18.6,38.7,5.3 (Fair)
Field-A,2025-12-06 08:15,901,27.7,6.4,21.9,42.4,9.9 (Excellent)
